고유번호,화학물질의 명칭,CAS
97-1-16,다이알리포스[Dialifos; 10311-84-9] 및 이를 1% 이상 함유한 혼합물,10311-84-9
97-1-17,더불유에스시피[WSCP; 31512-74-0] 및 이를 1% 이상 함유한 혼합물,31512-74-0
97-1-18,데카메트린[Decamethrin; 52918-63-5] 및 이를 25% 이상 함유한 혼합물,52918-63-5
97-1-19,도딘[Dodine; 2439-10-3] 및 이를 25% 이상 함유한 혼합물,2439-10-3
97-1-20,드라족솔론[Drazoxolon; 5707-69-7] 및 이를 1% 이상 함유한 혼합물,5707-69-7
97-1-21,디-n-부틸아민[Di-n-butylamine; 111-92-2] 및 이를 25% 이상 함유한 혼합물,111-92-2
97-1-22,디넥스[Dinex; 131-89-5] 및 이를 0.5% 이상 함유한 혼합물,131-89-5
97-1-23,디노브톤[Dinobuton; 973-21-7] 및 이를 1% 이상 함유한 혼합물,973-21-7
97-1-24,디노셉[Dinoseb; 88-85-7] 및 이를 1% 이상 함유한 혼합물,88-85-7
97-1-25,디노캅[Dinocap; 39300-45-3] 및 이를 1% 이상 함유한 혼합물,39300-45-3
97-1-26,디노텁[Dinoterb; 1420-07-1] 및 이를 1% 이상 함유한 혼합물,1420-07-1
97-1-27,디디티[DDT; 50-29-3] 및 이를 1% 이상 함유한 혼합물,50-29-3
97-1-28,디메탄[Dimetan; 122-15-6] 및 이를 1% 이상 함유한 혼합물,122-15-6
97-1-29,디메토에이트[Dimethoate; 60-51-5] 및 이를 1% 이상 함유한 혼합물,60-51-5
97-1-30,디메톤-S-메틸술폰[Demeton-S-metylsulfone; 17040-19-6] 및 이를 1% 이상 함유한 혼합물,17040-19-6
97-1-31,디메톤-메틸[Demeton-methly; 8022-00-2] 및 이를 1% 이상 함유한 혼합물,8022-00-2
97-1-32,디메톤[Demeton; 8065-48-3] 및 이를 1% 이상 함유한 혼합물,8065-48-3
97-1-33,디메틸란[Dimetilan; 644-64-4] 및 이를 1% 이상 함유한 혼합물,644-64-4
97-1-34,디메틸빈포스[Dimethylvinphos; 2274-67-1] 및 이를 1% 이상 함유한 혼합물,2274-67-1
97-1-35,디메폭스[Dimefox; 115-26-4] 및 이를 1% 이상 함유한 혼합물,115-26-4
97-1-36,디브롬화 디콰이트[Diquat dibromide; 85-00-7] 및 이를 1% 이상 함유한 혼합물,85-00-7
97-1-37,디술포톤[Disulfoton; 298-04-4] 및 이를 1% 이상 함유한 혼합물,298-04-4
97-1-38,디에스피[DSP; 3078-97-5] 및 이를 1% 이상 함유한 혼합물,3078-97-5
97-1-39,디엔오시[DNOC; 534-52-1]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,534-52-1
97-1-40,디엘드린[Dieldrin; 60-57-1] 및 이를 1% 이상 함유한 혼합물,60-57-1
97-1-41,디엠에이비[DMAB; 74-94-2] 및 이를 25% 이상 함유한 혼합물,74-94-2
97-1-42,디옥사벤조포스[Dioxabenzofos; 3811-49-2] 및 이를 1% 이상 함유한 혼합물,3811-49-2
97-1-43,디옥사캅[Dioxacarb; 6988-21-2] 및 이를 1% 이상 함유한 혼합물,6988-21-2
97-1-44,디옥사티온[Dioxathion; 78-34-2] 및 이를 1% 이상 함유한 혼합물,78-34-2
97-1-45,디이소시안산이소포론[Isophoronediisocyanate;4098-71-9] 및 이를 25% 이상 함유한 혼합물,4098-71-9
97-1-46,디이소시안산 헥사메틸렌[Hexamethylene diisocyanate; 822-06-0] 및 이를 25% 이상 함유한 혼합물,822-06-0
97-1-47,디코폴[dicofol; 115-32-2] 및 이를 25% 이상 함유한 혼합물,115-32-2
97-1-48,디크로토포스[Dicrotophos; 141-66-2] 및 이를 1% 이상 함유한 혼합물,141-66-2
97-1-49,디클로로아세트산[Dichloroacetic acid; 79-43-6] 및 이를 25% 이상 함유한 혼합물,79-43-6
97-1-50,디클로르보스[Dichlorvos; 62-73-7] 및 이를 0.1% 이상 함유한 혼합물,62-73-7
97-1-51,디클로펜티온[Dichlofenthion; 97-17-6] 및 이를 3% 이상 함유한 혼합물,97-17-6
97-1-52,디티아논[Dithianone; 3347-22-6] 및 이를 25% 이상 함유한 혼합물,3347-22-6
97-1-53,디티오피르[Dithiopyr; 97886-45-8] 및 이를 25% 이상 함유한 혼합물,97886-45-8
97-1-54,디파시논[Diphacinone; 82-66-6] 및 이를 1% 이상 함유한 혼합물,82-66-6
97-1-55,디페나쿰[Difenacoum; 56073-07-5] 및 이를 1% 이상 함유한 혼합물,56073-07-5
97-1-56,디페노코나졸[Difenoconazole; 119446-68-3] 및 이를 25% 이상 함유한 혼합물,119446-68-3
97-1-57,라살로시드[Lasalocid; 25999-31-9] 염류 및 이를 2% 이상 함유한 혼합물,25999-31-9
97-1-58,레스메트린[Resmethrin; 10453-86-8] 및 이를 1% 이상 함유한 혼합물,10453-86-8
97-1-59,렙토포스[Leptophos; 21609-90-5] 및 이를 1% 이상 함유한 혼합물,21609-90-5
97-1-60,로테논[Rotenone; 83-79-4] 및 이를 2% 이상 함유한 혼합물,83-79-4
97-1-61,리누론[Linuron;330-55-2] 및 이를 25% 이상 함유한 혼합물,330-55-2
97-1-62,헥사클로로시클로헥산[HCH; 608-73-1] 및 이를 1.5% 이상 함유한 혼합물,608-73-1
97-1-63,말라티온[Malathion; 121-75-5] 및 이를 1% 이상 함유한 혼합물,121-75-5
97-1-64,말레산히드라지드[Maleichydrazide;123-33-1] 및 이를 25% 이상 함유한 혼합물,123-33-1
97-1-65,말로노니트릴[Malononitrile; 109-77-3] 및 이를 25% 이상 함유한 혼합물,109-77-3
97-1-66,머스타드 가스[Mustard gas; 505-60-2] 및 이를 0.1% 이상 함유한 혼합물,505-60-2
97-1-67,메디노텁 아세트산[Medinoterb acetate; 2487-01-6] 및 이를 1% 이상 함유한 혼합물,2487-01-6
97-1-68,메르캅토아세트산[Mercaptoacetic acid; 68-11-1] 및 이를 25% 이상 함유한 혼합물,68-11-1
97-1-69,메카밤[Mecarbam; 2595-54-2] 및 이를 1% 이상 함유한 혼합물,2595-54-2
97-1-70,메클로르에타민[Mechlorethamine; 51-75-2]과 그 염산염 및 그 중 하나를 0.1% 이상 함유한 혼합물,51-75-2
97-1-71,메타술포캅[Methasulfocarb; 66952-49-6] 및 이를 1% 이상 함유한 혼합물,66952-49-6
97-1-72,메타아미도포스[Methamidophos; 10265-92-6] 및 이를 1% 이상 함유한 혼합물,10265-92-6
97-1-73,메타아크릴로니트릴[Methacrylonitrile;126-98-7] 및 이를 25% 이상 함유한 혼합물,126-98-7
97-1-74,메타알데히드[Metaldehyde; 108-62-3] 및 이를 25% 이상 함유한 혼합물,108-62-3
97-1-75,메토밀[Methomyl; 16752-77-5] 및 이를 1% 이상 함유한 혼합물,16752-77-5
97-1-76,메티다티온[Methidathion; 950-37-8] 및 이를 1% 이상 함유한 혼합물,950-37-8
97-1-77,메티오캅[Methiocarb; 2032-65-7] 및 이를 1% 이상 함유한 혼합물,2032-65-7
97-1-78,메틸 비닐 케톤[Methyl vinyl ketone; 78-94-4] 및 이를 1% 이상 함유한 혼합물,78-94-4
97-1-79,메틸 아폭시드[Methyl aphoxide; 57-39-6] 및 이를 1% 이상 함유한 혼합물,57-39-6
97-1-80,메틸알코올[Methylalcohol;67-56-1] 및 이를 85% 이상 함유한 혼합물,67-56-1
97-1-81,메틸 에틸 케톤[Methyl ethyl ketone; 78-93-3] 및 이를 85% 이상 함유한 혼합물,78-93-3
97-1-82,메틸 클로로아세트산[Methyl chloroacetate; 96-34-4] 및 이를 25% 이상 함유한 혼합물,96-34-4
97-1-83,메틸 트리티온[Methyl trithion; 953-17-3] 및 이를 1% 이상 함유한 혼합물,953-17-3
97-1-84,메틸히드라진[Methylhydrazine; 60-34-4] 및 이를 1% 이상 함유한 혼합물,60-34-4
97-1-85,메포스폴란[Mephosfolan; 950-10-7] 및 이를 1% 이상 함유한 혼합물,950-10-7
97-1-86,멕사카베이트[Mexacarbate; 315-18-4] 및 이를 1% 이상 함유한 혼합물,315-18-4
97-1-87,모넨신[Monensin; 17090-79-8]과 그 염류 및 그 중 모넨신으로서 8% 이상 함유한 혼합물,17090-79-8
97-1-88,모노크로토포스[Monocrotophos; 6923-22-4] 및 이를 1% 이상 함유한 혼합물,6923-22-4
97-1-89,몰리네이트[Molinate; 2212-67-1] 및 이를 25% 이상 함유한 혼합물,2212-67-1
97-1-90,"무기시안 화합물[Inorganic cyanide compounds] 및 이를 1% 이상 함유한 혼합물. 다만, 베를린청(Ferric ferrocyanide), 페로시안염(Ferrocyanide, salts), 페리시안염(Ferricyanide, salts) 및 그 중 하나를 함유한 혼합물은 제외",#N/A
97-1-91,"무기아연 염류[Inorganic zinc, salts] 및 이를 25% 이상 함유한 혼합물. 다만, 탄산 아연(Zinc carbonate) 및 뇌산 아연(Zinc fulminate)은 제외",#N/A
97-1-92,"무기은 염류[Inorganic silver, salts] 및 이를 25%이상 함유한 혼합물. 다만, 염화 은(Silver chloride) 및 뇌산 은(Silver fulminate)은 제외",#N/A
97-1-93,"무기주석 염류[Inorganic tin, salts] 및 이를 25% 이상 함유한 혼합물",#N/A
97-1-94,무수 크롬산[Chromic anhydride; 1333-82-0] 및 이를 0.1% 이상 함유한 혼합물,1333-82-0
97-1-95,바미도티온[Vamidothion; 2275-23-2] 및 이를 1% 이상 함유한 혼합물,2275-23-2
97-1-96,발연황산[Fuming sulfuric acid; 8014-95-7] 및 이를 25% 이상 함유한 혼합물,8014-95-7
97-1-97,벤디오캅[Bendiocarb; 22781-23-3] 및 이를 1% 이상 함유한 혼합물,22781-23-3
97-1-98,벤술라이드[Bensulide; 741-58-2] 및 이를 25% 이상 함유한 혼합물,741-58-2
97-1-99,벤젠[Benzene; 71-43-2] 및 이를 85% 이상 함유한 혼합물,71-43-2
97-1-100,벤젠아세토니트릴[Benzeneacetonitrile; 140-29-4] 및 이를 25% 이상 함유한 혼합물,140-29-4
97-1-101,벤족시메이트[Benzoximate; 29104-30-1] 및 이를 1% 이상 함유한 혼합물,29104-30-1
97-1-102,벤지딘[Benzidine; 92-87-5]과 그 염류 및 그 중 하나를 0.1% 이상 함유한 혼합물,92-87-5
97-1-103,벤프라캅[Benfuracarb; 82560-54-1] 및 이를 1% 이상 함유한 혼합물,82560-54-1
97-1-104,벤플루랄린[Benfluralin;1861-40-1] 및 이를 25% 이상 함유한 혼합물,1861-40-1
97-1-105,보밀[Bomyl; 122-10-1] 및 이를 1% 이상 함유한 혼합물,122-10-1
97-1-106,브로노폴[Bronopol; 52-51-7] 및 이를 1% 이상 함유한 혼합물,52-51-7
97-1-107,브로디파쿰[Brodifacoum; 56073-10-0] 및 이를 1% 이상 함유한 혼합물,56073-10-0
97-1-108,브로마디올론[Bromadiolone; 28772-56-7] 및 이를 1% 이상 함유한 혼합물,28772-56-7
97-1-109,브로모-2-프로판온[Bromo-2-propanone; 598-31-2] 및 이를 1% 이상 함유한 혼합물,598-31-2
97-1-110,브로모포스-에틸[Bromophos-ethyl; 4824-78-6] 및 이를 1% 이상 함유한 혼합물,4824-78-6
97-1-111,브롬[Bromine; 7726-95-6] 및 이를 1% 이상 함유한 혼합물,7726-95-6
97-1-112,브롬에탈린[Bromethalin; 63333-35-7] 및 이를 1% 이상 함유한 혼합물,63333-35-7
97-1-113,브롬화 메틸[Methyl bromide; 74-83-9] 및 이를 1% 이상 함유한 혼합물,74-83-9
97-1-114,브롬화 수소[Hydrogen bromide; 10035-10-6] 및 이를 1% 이상 함유한 혼합물,10035-10-6
97-1-115,브토카르복심[Butocarboxim; 34681-10-2] 및 이를 1% 이상 함유한 혼합물,34681-10-2
97-1-116,브펜캅[Bufencarb; 8065-36-9] 및 이를 25% 이상 함유한 혼합물,8065-36-9
97-1-117,블라스티시딘-에스[Blasticidin-S; 2079-00-7]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,2079-00-7
97-1-118,비나파크릴[Binapacryl; 485-31-4] 및 이를 0.1% 이상 함유한 혼합물,485-31-4
97-1-119,비소[Arsenic; 7440-38-2] 또는 그 화합물과 비소화합물을 0.1% 이상 함유한 혼합물,7440-38-2
97-1-120,비스(2-에틸헥실)아민[Bis(2-ethylhexyl)amine; 106-20-7] 및 이를 25% 이상 함유한 혼합물,106-20-7
97-1-121,비스(2-클로로에틸)에테르[Bis(2-chloroethyl)ether; 111-44-4] 및 이를 0.1% 이상 함유한 혼합물,111-44-4
97-1-122,비스(클로로메틸)에테르[Bis(chloromethyl)ether; 542-88-1] 및 이를 0.1% 이상 함유한 혼합물,542-88-1
97-1-123,비스티오세미[Bisthiosemi; 39603-48-0〕및 이를 2% 이상 함유한 혼합물,39603-48-0
97-1-124,비스티오시안산 메틸렌[Methylene bisthiocyanate; 6317-18-6] 및 이를 1% 이상 함유한 혼합물,6317-18-6
97-1-125,사산화 오스뮴[Osmium tetroxide; 20816-12-0] 및 이를 25% 이상 함유한 혼합물,20816-12-0
97-1-126,사염화 탄소[Carbon tetrachloride; 56-23-5] 및 이를 1% 이상 함유한 혼합물,56-23-5
97-1-127,"산화트리헥실포스핀,산화트리-n-옥틸포스핀,산화디옥틸모노옥틸디헥실포스핀의혼합물[Mixtureoftrihexylphosphineoxide,tri-n-octylphoshineoxide,dioctylmonooctyldihexylphosphineoxide] 및 이를 25% 이상 함유한 혼합물",#N/A
97-1-128,산화 펜브타틴[Fenbutatin oxide; 13356-08-6] 및 이를 1% 이상 함유한 혼합물,13356-08-6
97-1-129,산화프로필렌[Propyleneoxide;75-56-9]및이를0.1%이상함유한혼합물,75-56-9
97-1-130,산화니켈[Nickel oxide; 12035-36-8/monoxide; 1313-99-1] 및 황화니켈류[Nickel sufide; 12035-72-2/subsulfide; 16812-54-7]와 그 중 하나를 0.1% 이상 함유한 혼합물,12035-36-8
,산화니켈[Nickel monoxide; 1313-99-1] 및 황화니켈류[Nickel sufide; 12035-72-2/subsulfide; 16812-54-7]와 그 중 하나를 0.1% 이상 함유한 혼합물,1313-99-1
,황화니켈류[Nickel sufide; 12035-72-2/subsulfide; 16812-54-7]와 그 중 하나를 0.1% 이상 함유한 혼합물,12035-72-2
,황화니켈류[Nickel subsulfide; 16812-54-7]와 그 중 하나를 0.1% 이상 함유한 혼합물,16812-54-7
97-1-131,살리노마이신[Salinomycin; 53003-10-4]과 그 염류 및 이를 살리노마이신으로서 1% 이상 함유한 혼합물,53003-10-4
97-1-132,삼염화 인[Phosphorus trichloride; 7719-12-2] 및 이를 25% 이상 함유한 혼합물,7719-12-2
97-1-133,세레진[Cerezin; 2346-99-8] 및 이를 1% 이상 함유한 혼합물,2346-99-8
97-1-134,셀레늄[Selenium; 7782-49-2] 또는 그 화합물과 셀렌화합물을 1% 이상 함유한 혼합물,7782-49-2
97-1-135,셀로시딘[Cellocidin; 543-21-5] 및 이를 1% 이상 함유한 혼합물,543-21-5
97-1-136,수산화 나트륨[Sodium hydroxide; 1310-73-2] 및 이를 5% 이상 함유한 혼합물,1310-73-2
97-1-137,수산화 칼륨[Potassium hyroxide; 1310-58-3] 및 이를 5% 이상 함유한 혼합물,1310-58-3
97-1-138,수산화 트리아릴주석[Triaryl tin hydroxide] 및 그 염류(수산화트리아릴 주석의 무수물을 포함한다)와 그 중 하나를 2% 이상 함유한 혼합물,#N/A
97-1-139,"수산화 트리알킬주석[Trialkyl tin hydroxide]과 그 염류(산화트리알킬주석을 포함한다) 및 트리부틸주석화합물(tributyltin compound), 또는 그 중 하나를 0.1% 이상 함유한 혼합물",#N/A
97-1-140,"수은[Mercury; 7439-97-6] 또는 그 화합물과 수은화합물을 1% 이상 함유한 혼합물. 다만 황화 제이수은(Mercuric sulfide), 요오드화 제일수은(Mercuric iodide), 오레인산 수은(Mercuric oleate), 아미노 염화 제이수은(Amino mercury(II) chloride), 뇌산 제이수은(Mercury(II) fulminate) 및 그 중 하나를 함유한 혼합물은 제외",7439-97-6
97-1-141,술포텝[Sulfotep; 3689-24-5] 및 이를 1% 이상 함유한 혼합물,3689-24-5
97-1-142,술프로포스[Sulprofos; 35400-43-2] 및 이를 3% 이상 함유한 혼합물,35400-43-2
97-1-143,쉬라단[Schradan; 152-16-9] 및 이를 1% 이상 함유한 혼합물,152-16-9
97-1-144,스트리시닌[Strychnine; 57-24-9]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,57-24-9
97-1-145,시안아미드[Cyanamide; 420-04-2] 및 이를 25% 이상 함유한 혼합물,420-04-2
97-1-146,시클로니트[Cyclonite; 121-82-4] 및 이를 1% 이상 함유한 혼합물,121-82-4
97-1-147,시클로헥시미드[Cycloheximide; 66-81-9] 및 이를 0.2% 이상 함유한 혼합물,66-81-9
97-1-148,시클로헥실아민[Cyclohexylamine; 108-91-8] 및 이를 25% 이상 함유한 혼합물,108-91-8
97-1-149,싸이티오산[Cythioate; 115-93-5] 및 이를 1% 이상 함유한 혼합물,115-93-5
97-1-150,싸이프로디닐[Cyprodinil; 121552-61-2] 및 이를 25% 이상 함유한 혼합물,121552-61-2
97-1-151,싸이프로푸람[Cyprofuram; 69581-33-5] 및 이를 1% 이상 함유한 혼합물,69581-33-5
97-1-152,싸이플루트린[Cyfluthrin; 68359-37-5] 및 이를 0.5% 이상 함유한 혼합물,68359-37-5
97-1-153,싸이할로쓰린[Cyhalothrin; 68085-85-8] 및 이를 1.0% 이상 함유한 혼합물,68085-85-8
97-1-154,싸이헥사틴[Cyhexatin; 13121-70-5] 및 이를 5% 이상 함유한 혼합물,13121-70-5
97-1-155,아나바신[Anabasin; 494-52-0]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,494-52-0
97-1-156,아닐린[Aniline; 62-53-3] 및 그 염류를 25%이상 함유한 혼합물,62-53-3
97-1-157,아미노캅[Aminocarb; 2032-59-9] 및 이를 1% 이상 함유한 혼합물,2032-59-9
97-1-158,아미도티오산[Amidothioate; 54381-26-9] 및 이를 1% 이상 함유한 혼합물,54381-26-9
97-1-159,아미톤[Amiton; 78-53-5]과 그 옥살산염 및 그 중 하나를 1% 이상 함유한 혼합물,78-53-5
97-1-160,아세트산 디노셉[Dinoseb acetate; 2813-95-8] 및 이를 1% 이상 함유한 혼합물,2813-95-8
97-1-161,아세트산 에틸[Ethyl acetate; 141-78-6] 및 이를 85% 이상 함유한 혼합물,141-78-6
97-1-162,아세트산 탈륨[Thallium acetate; 563-68-8] 및 이를 1% 이상 함유한 혼합물,563-68-8
97-1-163,아염소산 나트륨[Sodium chlorite; 7758-19-2] 및 이를 25% 이상 함유한 혼합물,7758-19-2
97-1-164,아조시클로틴[Azocyclotin; 41083-11-8] 및 이를 1% 이상 함유한 혼합물,41083-11-8
97-1-165,아지드화 나트륨[Sodium azide; 26628-22-8] 및 이를 1.0% 이상 함유한 혼합물,26628-22-8
97-1-166,아진포스-메틸[Azinphos-methyl; 86-50-0] 및 이를 1% 이상 함유한 혼합물,86-50-0
97-1-167,"아질산 염류[Nitrous acid, salts] 및 이를 25%이상 함유한 혼합물",#N/A
97-1-168,아크롤레인[Acrolein; 107-02-8] 및 이를 1.0% 이상 함유한 혼합물,107-02-8
97-1-169,아크린아트린[Acrinathrin; 101007-06-1] 및 이를 25% 이상 함유한 혼합물,101007-06-1
97-1-170,아크릴로니트릴[Acrylonitrile; 107-13-1] 및 이를 0.1% 이상 함유한 혼합물,107-13-1
97-1-171,아크릴아미드[Acrylamide; 79-06-1] 및 이를 0.1% 이상 함유한 혼합물,79-06-1
97-1-172,아폭사이드[Aphoxide; 545-55-1] 및 이를 1% 이상 함유한 혼합물,545-55-1
97-1-173,아폴레이트[Apholate; 52-46-0] 및 이를 1% 이상 함유한 혼합물,52-46-0
97-1-174,아피단[Aphidan; 5827-05-4] 및 이를 5% 이상 함유한 혼합물,5827-05-4
97-1-175,안투[Antu; 86-88-4] 및 이를 1% 이상 함유한 혼합물,86-88-4
97-1-176,"무기 안티몬 화합물[Inorganic antimony compounds] 및 이를 1% 이상 함유한 혼합물. 다만, 산화 안티몬(Antimony(Ⅴ) pentoxide, Antimony(Ⅳ) tetroxide), 황화안티몬(Antimony(Ⅴ) pentasulfide, Antimony(Ⅲ) trisulfide), 안티몬산(HSbO3) 염류(Antimonic(Ⅴ) acid, salts), 피그먼트 브라운 24(C.I. Pigment Brown 24), 피그먼트 옐로우 53 (C.I. Pigment Yellow 53) 및 이를 함유한 혼합물과 산화안티몬(Antimony(Ⅲ) trioxide)을 함유한 혼합물은 제외",#N/A
97-1-177,알독시캅[Aldoxycarb; 1646-88-4] 및 이를 1% 이상 함유한 혼합물,1646-88-4
97-1-178,알드린[Aldrin; 309-00-2] 및 이를 0.1% 이상 함유한 혼합물,309-00-2
97-1-179,알디캅[Aldicarb; 116-06-3] 및 이를 1% 이상 함유한 혼합물,116-06-3
97-1-180,알라니캅[Alanycarb; 83130-01-2] 및 이를 25% 이상 함유한 혼합물,83130-01-2
97-1-181,알릭시캅[Allyxycarb; 6392-46-7] 및 이를 1% 이상 함유한 혼합물,6392-46-7
97-1-182,알릴 알콜[Allyl alcohol; 107-18-6] 및 이를 25% 이상 함유한 혼합물,107-18-6
97-1-183,알킬 아닐린[Alkyl aniline] 및 그 염류를 25%이상 함유한 혼합물,#N/A
97-1-184,암모니아[Ammonia; 7664-41-7] 및 이를 10% 이상 함유한 혼합물,7664-41-7
97-1-185,에디펜포스[Edifenphos; 17109-49-8] 및 이를 2% 이상 함유한 혼합물,17109-49-8
97-1-186,에르고칼시페롤[Ergocalciferol; 50-14-6] 및 이를 1% 이상 함유한 혼합물,50-14-6
97-1-187,에비비트[Ebivit; 67-97-0] 및 이를 1% 이상 함유한 혼합물,67-97-0
97-1-188,에이시티피[ACTP; 79456-26-1] 및 이를 25% 이상 함유한 혼합물,79456-26-1
97-1-189,에토프로포스[Ethoprophos; 13194-48-4] 및 이를 1% 이상 함유한 혼합물,13194-48-4
97-1-190,에티오펜캅[Ethiofencarb; 29973-13-5] 및 이를 1% 이상 함유한 혼합물,29973-13-5
97-1-191,에티온[Ethion; 563-12-2] 및 이를 1% 이상 함유한 혼합물,563-12-2
97-1-192,에피클로로히드린[Epichlorohydrin; 106-89-8] 및 이를 0.1% 이상 함유한 혼합물,106-89-8
97-1-193,엔도술판[Endosulfan; 115-29-7] 및 이를 1% 이상 함유한 혼합물,115-29-7
97-1-194,엔도탈[Endothal; 145-73-3] 및 이를 1% 이상 함유한 혼합물,145-73-3
97-1-195,엔도티온[Endothion; 2778-04-3] 및 이를 1% 이상 함유한 혼합물,2778-04-3
97-1-196,엔드린[Endrin; 72-20-8] 및 이를 1% 이상 함유한 혼합물,72-20-8
97-1-197,엠엔에프에이[MNFA; 5903-13-9] 및 이를 1% 이상 함유한 혼합물,5903-13-9
97-1-198,"염소산 염류[Chloric acid, salts] 및 이를 1% 이상 함유한 혼합물. 다만, 폭발약은 제외",#N/A
97-1-199,"염화 2,3-에폭시프로필트리메틸암모늄[2,3-Epoxypropyltrimethylammonium chloride; 3033-77-0] 및 이를 0.1% 이상 함유한 혼합물",3033-77-0
97-1-200,염화 N-알킬디메틸벤질암모늄[N-Alkyldimethylbenzylammonium chloride] 및 이를 1% 이상 함유한 혼합물,#N/A
97-1-201,염화 메틸[Methyl chloride; 74-87-3] 및 이를 1.0% 이상 함유한 혼합물,74-87-3
97-1-202,염화 부틸트리페닐포스포늄[Butyltriphenylphosphonium chloride; 13371-17-0] 및 이를 25% 이상 함유한 혼합물,13371-17-0
97-1-203,염화 수소[Hydrogen chloride; 7647-01-0] 및 이를 10% 이상 함유한 혼합물,7647-01-0
97-1-204,염화 시안[Cyanogen chloride; 506-77-4] 및 이를 1.0% 이상 함유한 혼합물,506-77-4
97-1-205,염화 에틸[Ethyl chloride; 75-00-3] 및 이를 25% 이상 함유한 혼합물,75-00-3
97-1-206,염화 클로르포늄[Chlorphonium chloride; 115-78-6] 및 이를 1% 이상 함유한 혼합물,115-78-6
97-1-207,염화 o-톨루엔술폰산[o-Toluenesulfonyl chloride; 133-59-5] 및 이를 25% 이상 함유한 혼합물,133-59-5
97-1-208,염화 티오닐[Thionyl chloride; 7719-09-7] 및 이를 25% 이상 함유한 혼합물,7719-09-7
97-1-209,염화 황[Sulfur chloride; 10025-67-9] 및 이를 25% 이상 함유한 혼합물,10025-67-9
97-1-210,오마딘[Omadine; 1121-31-9] 및 이를 1% 이상 함유한 혼합물,1121-31-9
97-1-211,오메토에이트[Omethoate; 1113-02-6] 및 이를 1% 이상 함유한 혼합물,1113-02-6
97-1-212,오산화 인[Phosphorus pentoxide; 1314-56-3] 및 이를 25% 이상 함유한 혼합물,1314-56-3
97-1-213,오염화 인[Phosphorus pentachloride; 10026-13-8] 및 이를 25% 이상 함유한 혼합물,10026-13-8
97-1-214,오황화 인[Phosphorus pentasulfide; 1314-80-3] 및 이를 1% 이상 함유한 혼합물,1314-80-3
97-1-215,옥사밀[Oxamyl; 23135-22-0] 및 이를 1% 이상 함유한 혼합물,23135-22-0
97-1-216,옥시디메톤-메틸[Oxydemeton-methyl; 301-12-2] 및 이를 1% 이상 함유한 혼합물,301-12-2
97-1-217,옥시디프로포스[Oxydeprofos; 2674-91-1] 및 이를 1% 이상 함유한 혼합물,2674-91-1
97-1-218,옥시염화 인[Phosphorus oxychloride; 10025-87-3] 및 이를 25% 이상 함유한 혼합물,10025-87-3
97-1-219,왈파린[Warfarin; 81-81-2]과 그 염류 및 그 중 하나를 0.1% 이상 함유한 혼합물,81-81-2
97-1-220,요오드화 메틸[Methyl iodide; 74-88-4] 및 이를 0.1% 이상 함유한 혼합물,74-88-4
97-1-221,요오드화 수소[Hydrogen iodide; 10034-85-2] 및 이를 1% 이상 함유한 혼합물,10034-85-2
